X,Y
-148.94,-12.22
-148.94,-12.22
-148.94,-12.22
-148.94,-12.22
45.57,28.58
45.57,28.58
45.57,28.58
159.69,5.58
159.69,5.58
159.69,5.58
159.69,5.58
66.63,-12.44
66.63,-12.44
66.63,-12.44
66.63,-12.44
28.75,-4.71
28.75,-4.71
28.75,-4.71
28.75,-4.71
-32.58,-25.69
-32.58,-25.69
-32.58,-25.69
-32.58,-25.69
-12.21,-10.69
-12.21,-10.69
-12.21,-10.69
-41.88,-35.85
2.97,18.88
2.97,18.88
2.97,18.88
-140.09,10.84
-140.09,10.84
-140.09,10.84
-140.09,10.84
126.29,22.23
126.29,22.23
126.29,22.23
126.29,22.23
10.75,40.41
10.75,40.41
10.75,40.41
10.75,40.41
109.10,9.14
109.10,9.14
109.10,9.14
109.10,9.14
43.75,12.05
43.75,12.05
43.75,12.05
44.57,-7.03
-14.30,-9.59
-14.30,-9.59
-14.30,-9.59
-16.90,-34.88
-16.90,-34.88
-16.90,-34.88
-16.90,-34.88
36.71,10.61
36.71,10.61
36.71,10.61
36.71,10.61
-55.61,-26.52
-55.61,-26.52
-55.61,-26.52
-55.61,-26.52
-147.75,15.43
-147.75,15.43
-147.75,15.43
-54.19,29.21
64.38,21.14
64.38,21.14
64.38,21.14
148.31,58.01
148.31,58.01
148.31,58.01
148.31,58.01
-167.77,60.32
-167.77,60.32
-167.77,60.32
-167.77,60.32
41.92,1.09
41.92,1.09
41.92,1.09
41.92,1.09
-10.67,-41.46
-10.67,-41.46
-10.67,-41.46
-10.67,-41.46
1.99,-9.46
1.99,-9.46
1.99,-9.46
2.00,8.03
